ChEMBL_ID,SMILES,MW,LogP,HBD,HBA,TPSA,RotBonds,Rings,AtomCount,Lipinski,Veber,Ghose,Egan,PAINS,Brenk,Lipinski_Score,Veber_Score,Ghose_Score,Egan_Score,PAINS_Score,Brenk_Score,Quality_Score,Quality_Class
CHEMBL6842,CC(N)Cc1ccc2c(c1)CCC2,175.27499999999995,2.065,1,1,26.02,2,2,13,Pass,Pass,Fail,Pass,Clean,Clean,1,1,0,1,1,1,5,Good
CHEMBL6664,CCC(c1ccc(O)cc1)C(CC)c1cc(I)c(O)c(I)c1,522.1640000000001,5.994400000000005,2,2,40.46,5,2,22,Fail,Pass,Fail,Fail,Clean,Alert,0,1,0,0,1,0,2,Poor
CHEMBL6732,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)c(Br)c1,349.268,5.547700000000005,2,2,40.46,5,2,21,Fail,Pass,Pass,Pass,Clean,Clean,0,1,1,1,1,1,5,Good
CHEMBL267600,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCCCCCN2CCCC2)cc1)c1ccccc1,593.5930000000005,9.085400000000002,0,2,12.47,13,4,36,Fail,Fail,Fail,Fail,Clean,Alert,0,0,0,0,1,0,1,Poor
CHEMBL266508,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@H](C)C(=O)O)cc1,418.4530000000001,2.4865199999999996,3,6,115.64999999999999,7,3,31,Pass,Pass,Pass,Pass,Clean,Alert,1,1,1,1,1,0,5,Good
CHEMBL6788,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@H](CCC)C(=O)O)cc1,446.5070000000002,3.266720000000001,3,6,115.64999999999999,9,3,33,Pass,Pass,Pass,Pass,Clean,Alert,1,1,1,1,1,0,5,Good
CHEMBL6789,CCCCNC(=O)CC1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,401.5110000000002,2.7520000000000007,2,7,102.60000000000001,8,3,29,Pass,Pass,Pass,Pass,Clean,Alert,1,1,1,1,1,0,5,Good
CHEMBL266684,CN(C)c1cccc2c(S(=O)(=O)Nc3ccc(I)cn3)cccc12,453.305,3.7062000000000017,1,4,62.300000000000004,4,3,24,Pass,Pass,Pass,Pass,Clean,Alert,1,1,1,1,1,0,5,Good
CHEMBL6485,CCC(c1ccc(O)c(Br)c1)C(CC)c1ccc(O)c(Br)c1,428.16400000000004,6.310200000000005,2,2,40.46,5,2,22,Fail,Pass,Fail,Fail,Clean,Clean,0,1,0,0,1,1,3,Moderate
CHEMBL266685,C/N=C(/NC#N)NC1c2cnccc2OC(C)(C)[C@H]1O,275.312,0.300679999999999,3,5,102.56,1,2,20,Pass,Pass,Pass,Pass,Clean,Alert,1,1,1,1,1,0,5,Good
CHEMBL6744,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCCCCCCCN2CCCC2)cc1)c1ccccc1,621.6470000000005,9.865599999999997,0,2,12.47,15,4,38,Fail,Fail,Fail,Fail,Clean,Alert,0,0,0,0,1,0,1,Poor
